year,GP name,date,start,finish,team,driver,dob,circuit name,age at race,driver_active,team_active,rainfall,min_humidity,avg_track_temp,driver_reliability_rolling10,team_reliability_rolling10,finish_rolling3
2025,Qatar Grand Prix,2025-11-30,1,,,Piastri,2001-04-06,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-01,2,,,Russell,1998-02-15,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-02,3,,,Norris,1999-11-13,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-03,4,,,Alonso,1981-07-29,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-04,5,,,Tsunoda,2000-05-11,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-05,6,,,Verstappen,1972-03-04,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-06,7,,,Antonelli,2006-08-25,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-07,8,,,Sainz,1994-09-01,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-08,9,,,Leclerc,1997-10-16,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-09,10,,,Albon,1996-03-23,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-10,11,,,Hadjar,2004-09-28,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-11,12,,,Bearman,2005-05-08,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-12,13,,,Bortoleto,2004-10-14,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-13,14,,,Hulkenberg,1987-08-19,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-14,15,,,Ocon,1996-09-17,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-15,16,,,Stroll,1998-10-29,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-16,17,,,Lawson,2002-02-11,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-17,18,,,Hamilton,1985-01-07,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-18,19,,,Gasly,1996-02-07,Losail International Circuit,,1,1,0,53,24,,,
2025,Qatar Grand Prix,2025-12-19,20,,,Colapinto,2003-05-27,Losail International Circuit,,1,1,0,53,24,,,